source_path,relative_path,basename,category,book_container,status,has_output,num_outputs,matched_outputs,notes
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000001.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000001.jpg,00000001,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000001.csv (csv, 2026-01-13 10:29:12)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000002.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000002.jpg,00000002,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000002.csv (csv, 2026-01-12 19:42:57)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000003.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000003.jpg,00000003,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000003.csv (csv, 2026-01-22 10:39:43)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000004.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000004.jpg,00000004,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000004.csv (csv, 2026-01-22 10:40:53)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000005.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000005.jpg,00000005,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000005.csv (csv, 2026-01-12 19:44:22)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000006.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000006.jpg,00000006,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000006.csv (csv, 2026-01-22 10:40:53)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000007.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000007.jpg,00000007,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000007.csv (csv, 2026-01-22 10:40:53)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000008.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000008.jpg,00000008,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000008.csv (csv, 2026-01-22 10:40:53)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000009.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000009.jpg,00000009,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000009.csv (csv, 2026-01-12 19:46:29)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000010.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000010.jpg,00000010,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000010.csv (csv, 2026-01-12 19:47:03)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000011.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000011.jpg,00000011,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000011.csv (csv, 2026-01-12 19:47:33)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000012.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000012.jpg,00000012,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000012.csv (csv, 2026-01-22 10:40:53)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000013.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000013.jpg,00000013,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000013.csv (csv, 2026-01-12 19:48:36)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000014.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000014.jpg,00000014,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000014.csv (csv, 2026-01-12 19:49:03)",
/home/etienne/python/runpod-llama.cpp/FabioTestOcr/data/ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000015.jpg,ftp/PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000015.jpg,00000015,PROTOCOLLO DENUNCE,1 protocollo denunce CA,ELABORATED,True,1,"PROTOCOLLO DENUNCE/1 protocollo denunce CA/00000015.csv (csv, 2026-01-22 10:40:53)",
